m,n,distribution,analytic_mean,bs_mean,BS_t_interval_lower,analytic_t_interval_lower,BS_t_interval_upper,analytic_t_interval_upper,analytic_se,bs_se,BS_likelihood_mle_lower,BS_likelihood_lr_lower,BS_nonparametric_lower,BS_likelihood_mle_upper,BS_likelihood_lr_upper,BS_nonparametric_upper
2000,50,t,0,0.076236338,-0.253956958,-0.309903211,0.406429633,0.309903211,0.158113883,0.167293817,-0.257670562,-0.257659936,-0.253956958,0.421885085,0.421877802,0.406429633
5000,50,t,0,0.075672292,-0.257146943,-0.309903211,0.408491527,0.309903211,0.158113883,0.168705997,-0.257670562,-0.257659936,-0.257146943,0.421885085,0.421877802,0.408491527
10000,50,t,0,0.078913238,-0.25756305,-0.309903211,0.415389526,0.309903211,0.158113883,0.171297972,-0.257670562,-0.257659936,-0.25756305,0.421885085,0.421877802,0.415389526
200,100,t,0,0.111838173,-0.103359669,-0.219134662,0.327036014,0.219134662,0.111803399,0.112785072,-0.116695174,-0.116690515,-0.103359669,0.335711442,0.335695891,0.327036014
500,100,t,0,0.118778396,-0.105585263,-0.219134662,0.343142056,0.219134662,0.111803399,0.117863288,-0.116695174,-0.116690515,-0.105585263,0.335711442,0.335695891,0.343142056
1000,100,t,0,0.115420278,-0.103918018,-0.219134662,0.334758574,0.219134662,0.111803399,0.113634104,-0.116695174,-0.116690515,-0.103918018,0.335711442,0.335695891,0.334758574
2000,100,t,0,0.11392095,-0.107375827,-0.219134662,0.335217728,0.219134662,0.111803399,0.114690985,-0.116695174,-0.116690515,-0.107375827,0.335711442,0.335695891,0.335217728
5000,100,t,0,0.113862496,-0.110539269,-0.219134662,0.338264262,0.219134662,0.111803399,0.116061755,-0.116695174,-0.116690515,-0.110539269,0.335711442,0.335695891,0.338264262
10000,100,t,0,0.112090879,-0.110537937,-0.219134662,0.334719694,0.219134662,0.111803399,0.114704603,-0.116695174,-0.116690515,-0.110537937,0.335711442,0.335695891,0.334719694
200,1000,t,0,-0.013419057,-0.093873501,-0.069296465,0.067035387,0.069296465,0.035355339,0.03891123,-0.091940036,-0.091920766,-0.093873501,0.051361316,0.051356071,0.067035387
500,1000,t,0,-0.022168002,-0.094226978,-0.069296465,0.049890975,0.069296465,0.035355339,0.037576818,-0.091940036,-0.091920766,-0.094226978,0.051361316,0.051356071,0.049890975
1000,1000,t,0,-0.022642338,-0.093851712,-0.069296465,0.048567036,0.069296465,0.035355339,0.036420778,-0.091940036,-0.091920766,-0.093851712,0.051361316,0.051356071,0.048567036
2000,1000,t,0,-0.021210531,-0.090086074,-0.069296465,0.047665012,0.069296465,0.035355339,0.035588645,-0.091940036,-0.091920766,-0.090086074,0.051361316,0.051356071,0.047665012
5000,1000,t,0,-0.02199625,-0.093015403,-0.069296465,0.049022902,0.069296465,0.035355339,0.036552562,-0.091940036,-0.091920766,-0.093015403,0.051361316,0.051356071,0.049022902
10000,1000,t,0,-0.020551482,-0.091527074,-0.069296465,0.05042411,0.069296465,0.035355339,0.036574459,-0.091940036,-0.091920766,-0.091527074,0.051361316,0.051356071,0.05042411
200,10,weibull,1.772453851,0.792705619,0.543861763,1.198201497,1.041549476,2.346706205,0.292985895,0.124595551,0.488792416,0.48879117,0.543861763,1.051391888,1.051373611,1.041549476
500,10,weibull,1.772453851,0.770746989,0.515280761,1.198201497,1.026213217,2.346706205,0.292985895,0.126158966,0.488792416,0.48879117,0.515280761,1.051391888,1.051373611,1.026213217
1000,10,weibull,1.772453851,0.792571398,0.524958915,1.198201497,1.06018388,2.346706205,0.292985895,0.13038598,0.488792416,0.48879117,0.524958915,1.051391888,1.051373611,1.06018388
2000,10,weibull,1.772453851,0.786430999,0.516033854,1.198201497,1.056828144,2.346706205,0.292985895,0.133433475,0.488792416,0.48879117,0.516033854,1.051391888,1.051373611,1.056828144
5000,10,weibull,1.772453851,0.79180102,0.517287685,1.198201497,1.066314355,2.346706205,0.292985895,0.135256819,0.488792416,0.48879117,0.517287685,1.051391888,1.051373611,1.066314355
10000,10,weibull,1.772453851,0.790894269,0.519430439,1.198201497,1.062358099,2.346706205,0.292985895,0.136419724,0.488792416,0.48879117,0.519430439,1.051391888,1.051373611,1.062358099
200,50,weibull,1.772453851,0.846566474,0.73377809,1.515640391,0.959354857,2.029267311,0.131027276,0.062917666,0.721417321,0.721421152,0.73377809,0.969263477,0.969286751,0.959354857
500,50,weibull,1.772453851,0.849945717,0.73310609,1.515640391,0.966785343,2.029267311,0.131027276,0.062829137,0.721417321,0.721421152,0.73310609,0.969263477,0.969286751,0.966785343
1000,50,weibull,1.772453851,0.845013609,0.718265283,1.515640391,0.971761934,2.029267311,0.131027276,0.064955826,0.721417321,0.721421152,0.718265283,0.969263477,0.969286751,0.971761934
2000,50,weibull,1.772453851,0.845124534,0.719323455,1.515640391,0.970925614,2.029267311,0.131027276,0.063839722,0.721417321,0.721421152,0.719323455,0.969263477,0.969286751,0.970925614
5000,50,weibull,1.772453851,0.845420571,0.721152698,1.515640391,0.969688444,2.029267311,0.131027276,0.063160697,0.721417321,0.721421152,0.721152698,0.969263477,0.969286751,0.969688444
10000,50,weibull,1.772453851,0.846718274,0.723371984,1.515640391,0.970064564,2.029267311,0.131027276,0.062995897,0.721417321,0.721421152,0.723371984,0.969263477,0.969286751,0.970064564
200,100,weibull,1.772453851,0.891239596,0.807172901,1.590859312,0.97530629,1.95404839,0.092650275,0.045059229,0.795657151,0.795632172,0.807172901,0.974956428,0.974954249,0.97530629
500,100,weibull,1.772453851,0.887108222,0.802760859,1.590859312,0.971455586,1.95404839,0.092650275,0.044876454,0.795657151,0.795632172,0.802760859,0.974956428,0.974954249,0.971455586
1000,100,weibull,1.772453851,0.885990576,0.800676246,1.590859312,0.971304905,1.95404839,0.092650275,0.045201549,0.795657151,0.795632172,0.800676246,0.974956428,0.974954249,0.971304905
2000,100,weibull,1.772453851,0.885956291,0.799295999,1.590859312,0.972616584,1.95404839,0.092650275,0.045470146,0.795657151,0.795632172,0.799295999,0.974956428,0.974954249,0.972616584
5000,100,weibull,1.772453851,0.885187291,0.795113463,1.590859312,0.975261119,1.95404839,0.092650275,0.045738121,0.795657151,0.795632172,0.795113463,0.974956428,0.974954249,0.975261119
10000,100,weibull,1.772453851,0.88604338,0.796610959,1.590859312,0.975475801,1.95404839,0.092650275,0.04559702,0.795657151,0.795632172,0.796610959,0.974956428,0.974954249,0.975475801
200,1000,weibull,1.772453851,0.88731625,0.857172552,1.715028615,0.917459949,1.829879086,0.029298589,0.014631573,0.861516832,0.861519407,0.857172552,0.918877188,0.918872686,0.917459949
500,1000,weibull,1.772453851,0.888211599,0.859571948,1.715028615,0.916851249,1.829879086,0.029298589,0.014245215,0.861516832,0.861519407,0.859571948,0.918877188,0.918872686,0.916851249
1000,1000,weibull,1.772453851,0.888207342,0.86009236,1.715028615,0.916322325,1.829879086,0.029298589,0.014266683,0.861516832,0.861519407,0.86009236,0.918877188,0.918872686,0.916322325
2000,1000,weibull,1.772453851,0.889828694,0.861903674,1.715028615,0.917753715,1.829879086,0.029298589,0.014293632,0.861516832,0.861519407,0.861903674,0.918877188,0.918872686,0.917753715
5000,1000,weibull,1.772453851,0.890068099,0.862231751,1.715028615,0.917904447,1.829879086,0.029298589,0.014499197,0.861516832,0.861519407,0.862231751,0.918877188,0.918872686,0.917904447
10000,1000,weibull,1.772453851,0.889743496,0.8613012,1.715028615,0.918185791,1.829879086,0.029298589,0.014626728,0.861516832,0.861519407,0.8613012,0.918877188,0.918872686,0.918185791
